"ts_code","symbol","name","area","industry","market","list_date"
"600059.SH","600059","古越龙山","浙江","红黄酒","主板","19970516"
"600060.SH","600060","海信视像","山东","家用电器","主板","19970422"
"600061.SH","600061","国投资本","上海","证券","主板","19970519"
"600062.SH","600062","华润双鹤","北京","化学制药","主板","19970522"
"600063.SH","600063","皖维高新","安徽","化纤","主板","19970528"
"600064.SH","600064","南京高科","江苏","园区开发","主板","19970506"
"600066.SH","600066","宇通客车","河南","汽车整车","主板","19970508"
"600067.SH","600067","冠城大通","福建","全国地产","主板","19970508"
"600068.SH","600068","葛洲坝","湖北","建筑工程","主板","19970526"
"600070.SH","600070","浙江富润","浙江","互联网","主板","19970604"
"600071.SH","600071","凤凰光学","江西","元器件","主板","19970528"
"600072.SH","600072","中船科技","上海","船舶","主板","19970603"
"600073.SH","600073","上海梅林","上海","食品","主板","19970704"
"600075.SH","600075","新疆天业","新疆","化工原料","主板","19970617"
"600076.SH","600076","康欣新材","山东","其他建材","主板","19970526"
"600077.SH","600077","宋都股份","浙江","全国地产","主板","19970520"
"600078.SH","600078","*ST澄星","江苏","化工原料","主板","19970627"
"600079.SH","600079","人福医药","湖北","化学制药","主板","19970606"
"600080.SH","600080","金花股份","陕西","中成药","主板","19970612"
"600081.SH","600081","东风科技","上海","汽车配件","主板","19970703"
"600082.SH","600082","海泰发展","天津","园区开发","主板","19970620"
"600083.SH","600083","*ST博信","江苏","综合类","主板","19970606"
"600084.SH","600084","*ST中葡","新疆","红黄酒","主板","19970711"
"600085.SH","600085","同仁堂","北京","中成药","主板","19970625"
"600088.SH","600088","中视传媒","上海","影视音像","主板","19970616"
"600089.SH","600089","特变电工","新疆","电气设备","主板","19970618"
"600090.SH","600090","*ST济堂","新疆","医药商业","主板","19970616"
"600091.SH","600091","*ST明科","内蒙","化工原料","主板","19970704"
"600093.SH","600093","*ST易见","云南","仓储物流","主板","19970626"
"600094.SH","600094","大名城","上海","区域地产","主板","19970703"
"600095.SH","600095","湘财股份","黑龙江","证券","主板","19970708"
"600096.SH","600096","云天化","云南","农药化肥","主板","19970709"
"600097.SH","600097","开创国际","上海","渔业","主板","19970619"
"600098.SH","600098","广州发展","广东","火力发电","主板","19970718"
"600099.SH","600099","林海股份","江苏","摩托车","主板","19970704"
"600100.SH","600100","同方股份","北京","IT设备","主板","19970627"
"600101.SH","600101","明星电力","四川","水力发电","主板","19970627"
"600103.SH","600103","青山纸业","福建","造纸","主板","19970703"
"600104.SH","600104","上汽集团","上海","汽车整车","主板","19971125"
"600105.SH","600105","永鼎股份","江苏","通信设备","主板","19970929"
"600106.SH","600106","重庆路桥","重庆","路桥","主板","19970618"
"600107.SH","600107","美尔雅","湖北","服饰","主板","19971106"
"600108.SH","600108","亚盛集团","甘肃","农业综合","主板","19970818"
"600109.SH","600109","国金证券","四川","证券","主板","19970807"
"600110.SH","600110","诺德股份","吉林","电气设备","主板","19971007"
"600111.SH","600111","北方稀土","内蒙","小金属","主板","19970924"
"600112.SH","600112","*ST天成","贵州","电气设备","主板","19971127"
"600113.SH","600113","浙江东日","浙江","区域地产","主板","19971021"
"600114.SH","600114","东睦股份","浙江","机械基件","主板","20040511"
"600115.SH","600115","中国东航","上海","空运","主板","19971105"
"600116.SH","600116","三峡水利","重庆","水力发电","主板","19970804"
"600117.SH","600117","西宁特钢","青海","特种钢","主板","19971015"
"600118.SH","600118","中国卫星","北京","航空","主板","19970908"
"600119.SH","600119","长江投资","上海","仓储物流","主板","19980115"
"600120.SH","600120","浙江东方","浙江","多元金融","主板","19971201"
"600121.SH","600121","郑州煤电","河南","煤炭开采","主板","19980107"
"600122.SH","600122","ST宏图","江苏","其他商业","主板","19980420"
"600123.SH","600123","兰花科创","山西","煤炭开采","主板","19981217"
"600125.SH","600125","铁龙物流","辽宁","铁路","主板","19980511"
"600126.SH","600126","杭钢股份","浙江","普钢","主板","19980311"
"600127.SH","600127","金健米业","湖南","农业综合","主板","19980506"
"600128.SH","600128","弘业股份","江苏","商贸代理","主板","19970901"
"600129.SH","600129","太极集团","重庆","中成药","主板","19971118"
"600130.SH","600130","波导股份","浙江","通信设备","主板","20000706"
"600131.SH","600131","国网信通","四川","通信设备","主板","19980402"
"600132.SH","600132","重庆啤酒","重庆","啤酒","主板","19971030"
"600133.SH","600133","东湖高新","湖北","园区开发","主板","19980212"
"600135.SH","600135","乐凯胶片","河北","化工原料","主板","19980122"
"600136.SH","600136","当代文体","湖北","影视音像","主板","19980303"
"600137.SH","600137","浪莎股份","四川","服饰","主板","19980416"
"600138.SH","600138","中青旅","北京","旅游服务","主板","19971203"
"600139.SH","600139","ST西源","四川","综合类","主板","19980225"
"600141.SH","600141","兴发集团","湖北","化工原料","主板","19990616"
"600143.SH","600143","金发科技","广东","塑料","主板","20040623"
"600145.SH","600145","*ST新亿","新疆","房产服务","主板","19990923"
"600146.SH","600146","*ST环球","宁夏","服饰","主板","19990707"
"600148.SH","600148","长春一东","吉林","汽车配件","主板","19980520"
"600149.SH","600149","廊坊发展","河北","综合类","主板","19991014"
"600150.SH","600150","中国船舶","上海","船舶","主板","19980520"
"600151.SH","600151","航天机电","上海","汽车配件","主板","19980605"
"600152.SH","600152","维科技术","浙江","电气设备","主板","19980609"
"600153.SH","600153","建发股份","福建","商贸代理","主板","19980616"
"600155.SH","600155","华创阳安","北京","证券","主板","19980918"
"600156.SH","600156","华升股份","湖南","纺织","主板","19980527"
"600157.SH","600157","永泰能源","山西","火力发电","主板","19980513"
"600158.SH","600158","中体产业","天津","文教休闲","主板","19980327"
"600159.SH","600159","大龙地产","北京","区域地产","主板","19980526"
"600160.SH","600160","巨化股份","浙江","化工原料","主板","19980626"
"600161.SH","600161","天坛生物","北京","生物制药","主板","19980616"
